Model,Reference,Protocol,Brand,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidrectionnal,Selected,Number,Lens,Network,Base
PMW-EX1,PMW-EX1,Not controllable,Sony,https://pro.sony/fr_CH/products/handheld-camcorders/pmw-ex1,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,This camera is not remotely controllable.,,0.0,,False,0,Fixed,LAN wired,Fixed
PXW-200,PXW-X200,Not compatible,Sony,https://pro.sony/fr_BE/products/handheld-camcorders/pxw-x200,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,The camera protocol has not been integrated due to the low demand on this camera.,,0.0,,False,0,Fixed,LAN wired,Fixed
PHD-02XP,PHD02XP,Not still documented,Pacific Corp.,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
AG-CX350,CX350,Panasonic CX350,Panasonic,,,Handheld Camcorder,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/CX350,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
AG-DVX200,Dvx200,Not still documented,Panasonic,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
AG-HPX500,AG-HPX500,Panasonic P2,Panasonic,,,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
AJ-HPX2700,AJ-HPX2700,Panasonic P2,Panasonic,,,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
AJ-HPX3100,AJ-HPX3100,Panasonic P2,Panasonic,,,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
AJ-PX270,PX270,Not still documented,Panasonic,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
AJ-PX380,PX380,Not still documented,Panasonic,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
AJ-PX5000,PX5000,Not still documented,Panasonic,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
AJ-PX800,PX800,Not still documented,Panasonic,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
AK-UB300,AKUB300,Not still documented,Panasonic,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
AU-EVA1,EVA1,Not still documented,Panasonic,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
