Reference,Protocol,Brand,LensMount,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Selected,Number,Lens,Network,Base
CISHD3,CIS HR10A,CIS,S-Mount,,,Minicam,CY-CBL-6P-CIS-02,Planned to be documented  202407,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
AtomOne,DreamChip Serial,DreamChip,S-Mount,https://www.atom-one.de,,Minicam Motorizable,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
AtomOne mini,DreamChip Serial,DreamChip,S-Mount,https://www.atom-one.de,,Minicam Motorizable,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
AtomOne mini Zoom,DreamChip Serial Motorized,DreamChip,No-Xchange-Motorized,https://www.atom-one.de,,Minicam IZT,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
AtomOne mini AIR,DreamChip Serial,DreamChip,S-Mount,https://www.atom-one.de,,Minicam Motorizable,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
AtomOne mini Waterproof,DreamChip Serial,DreamChip,S-Mount,https://www.atom-one.de,,Minicam Motorizable,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
AtomOne 4K Mini 7,DreamChip Serial,DreamChip,S-Mount,https://www.atom-one.de,,Minicam Motorizable,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
AtomOne 4K Mini 11,DreamChip Serial,DreamChip,C-Mount,https://www.atom-one.de,,Minicam Motorizable,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
AtomOne 4K Mini 16,DreamChip Serial,DreamChip,C-Mount,https://www.atom-one.de,,Minicam Motorizable,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
AtomOne SSM500,Dreamchip SSM,DreamChip,B4-Mount,https://www.atom-one.de,,Slow Motion,CY-CBL-6P-DCHIP-03,https://support.cyanview.com/docs/Integrations/Dreamchip/ssm500,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
